danceability,speechiness
0.427,0.0681
0.521,0.197
0.31,0.288
0.517,0.0306
0.607,0.0346
0.832,0.296
0.518,0.028
0.559,0.17
0.354,0.0656
0.242,0.0346
0.7,0.149
0.933,0.161
0.604,0.0393
0.599,0.0421
0.47,0.0612
0.796,0.2
0.512,0.0282
