danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.345,0.443,7,-10.138,1,0.0356,0.3,0.00732,0.0797,0.0719,127.885,audio_features,1N1DRi4669ICDiLUqzG1ui,spotify:track:1N1DRi4669ICDiLUqzG1ui,https://api.spotify.com/v1/tracks/1N1DRi4669ICDiLUqzG1ui,https://api.spotify.com/v1/audio-analysis/1N1DRi4669ICDiLUqzG1ui,238320,3
0.416,0.69,4,-7.362,0,0.0337,0.0581,0.000372,0.345,0.529,84.619,audio_features,0MdVn1L2orxB6sNAeiurEA,spotify:track:0MdVn1L2orxB6sNAeiurEA,https://api.spotify.com/v1/tracks/0MdVn1L2orxB6sNAeiurEA,https://api.spotify.com/v1/audio-analysis/0MdVn1L2orxB6sNAeiurEA,166853,4
0.393,0.608,7,-10.129,1,0.043,0.0691,0.0127,0.612,0.0516,127.929,audio_features,3NkrDwDPQGxXukeAtTNyQO,spotify:track:3NkrDwDPQGxXukeAtTNyQO,https://api.spotify.com/v1/tracks/3NkrDwDPQGxXukeAtTNyQO,https://api.spotify.com/v1/audio-analysis/3NkrDwDPQGxXukeAtTNyQO,180453,4
0.239,0.699,5,-5.879,1,0.036,0.404,0,0.174,0.235,157.195,audio_features,1nYvSnLvwKYfPMzpMrzTZW,spotify:track:1nYvSnLvwKYfPMzpMrzTZW,https://api.spotify.com/v1/tracks/1nYvSnLvwKYfPMzpMrzTZW,https://api.spotify.com/v1/audio-analysis/1nYvSnLvwKYfPMzpMrzTZW,211840,4
0.455,0.523,4,-7.747,0,0.027,0.037,4.94E-06,0.338,0.373,75.046,audio_features,6R3YgmZG1ODxMsE7eU363S,spotify:track:6R3YgmZG1ODxMsE7eU363S,https://api.spotify.com/v1/tracks/6R3YgmZG1ODxMsE7eU363S,https://api.spotify.com/v1/audio-analysis/6R3YgmZG1ODxMsE7eU363S,246547,3
0.23,0.717,9,-7.953,1,0.0629,0.595,9.51E-05,0.223,0.481,201.793,audio_features,1NZO2249LZybRWKNNb1sXx,spotify:track:1NZO2249LZybRWKNNb1sXx,https://api.spotify.com/v1/tracks/1NZO2249LZybRWKNNb1sXx,https://api.spotify.com/v1/audio-analysis/1NZO2249LZybRWKNNb1sXx,304733,3
0.252,0.948,4,-7.894,1,0.228,0.439,0.000283,0.585,0.171,139.469,audio_features,1O6MuZIAqEzBQlqojw6uWl,spotify:track:1O6MuZIAqEzBQlqojw6uWl,https://api.spotify.com/v1/tracks/1O6MuZIAqEzBQlqojw6uWl,https://api.spotify.com/v1/audio-analysis/1O6MuZIAqEzBQlqojw6uWl,143800,4
0.528,0.887,0,-6.437,1,0.0574,0.0259,0.000269,0.133,0.61,131.978,audio_features,1P83JLGQz1XXCJ5hTMGRMY,spotify:track:1P83JLGQz1XXCJ5hTMGRMY,https://api.spotify.com/v1/tracks/1P83JLGQz1XXCJ5hTMGRMY,https://api.spotify.com/v1/audio-analysis/1P83JLGQz1XXCJ5hTMGRMY,249800,4
0.614,0.84,3,-7.006,1,0.03,0.0808,0.0307,0.431,0.961,126.343,audio_features,1tLJMLavxD9KmeLTYeqnM8,spotify:track:1tLJMLavxD9KmeLTYeqnM8,https://api.spotify.com/v1/tracks/1tLJMLavxD9KmeLTYeqnM8,https://api.spotify.com/v1/audio-analysis/1tLJMLavxD9KmeLTYeqnM8,109653,4
0.228,0.134,4,-16.148,0,0.0342,0.952,0.931,0.124,0.0386,82.578,audio_features,1TTarEDS9D6qFuZXwaBMDH,spotify:track:1TTarEDS9D6qFuZXwaBMDH,https://api.spotify.com/v1/tracks/1TTarEDS9D6qFuZXwaBMDH,https://api.spotify.com/v1/audio-analysis/1TTarEDS9D6qFuZXwaBMDH,201031,3
0.639,0.83,9,-6.322,0,0.0544,0.583,1.38E-05,0.189,0.299,115.64,audio_features,1vD5AvQg8Mf2Me0McsuUR2,spotify:track:1vD5AvQg8Mf2Me0McsuUR2,https://api.spotify.com/v1/tracks/1vD5AvQg8Mf2Me0McsuUR2,https://api.spotify.com/v1/audio-analysis/1vD5AvQg8Mf2Me0McsuUR2,262933,4
0.312,0.272,0,-9.971,1,0.0283,0.621,0,0.207,0.442,78.417,audio_features,1wFphBpXDk8X0YAhfy2pkQ,spotify:track:1wFphBpXDk8X0YAhfy2pkQ,https://api.spotify.com/v1/tracks/1wFphBpXDk8X0YAhfy2pkQ,https://api.spotify.com/v1/audio-analysis/1wFphBpXDk8X0YAhfy2pkQ,99824,4
0.275,0.626,1,-5.928,1,0.0303,0.18,1.35E-06,0.75,0.521,92.087,audio_features,1xR8BtflpPd1q9OKwJRJDb,spotify:track:1xR8BtflpPd1q9OKwJRJDb,https://api.spotify.com/v1/tracks/1xR8BtflpPd1q9OKwJRJDb,https://api.spotify.com/v1/audio-analysis/1xR8BtflpPd1q9OKwJRJDb,297263,4
0.395,0.543,2,-7.656,1,0.028,0.105,0,0.0718,0.107,81.966,audio_features,1XwpqZUFbH1GqyY1osc18R,spotify:track:1XwpqZUFbH1GqyY1osc18R,https://api.spotify.com/v1/tracks/1XwpqZUFbH1GqyY1osc18R,https://api.spotify.com/v1/audio-analysis/1XwpqZUFbH1GqyY1osc18R,269227,4
